filename,filepath,tsne_dim1,tsne_dim2
xtal_2.cif,./U3Si5/__initial__/3/xtal_2.cif,5.3891788,-8.246712
xtal_20.cif,./U3Si5/__initial__/3/xtal_20.cif,-46.80309,68.186264
xtal_21.cif,./U3Si5/__initial__/3/xtal_21.cif,-40.65325,16.757477
xtal_22.cif,./U3Si5/3/xtal_22.cif,-65.667046,17.509197
xtal_23.cif,./U3Si5/3/xtal_23.cif,1.2508596,-88.890686
xtal_24.cif,./U3Si5/__initial__/3/xtal_24.cif,13.796922,-1.8383129
xtal_25.cif,./U3Si5/__initial__/3/xtal_25.cif,-31.022,18.021309
xtal_26.cif,./U3Si5/__initial__/3/xtal_26.cif,10.172612,-0.46285114
xtal_27.cif,./U3Si5/3/xtal_27.cif,2.5051775,-70.505066
xtal_28.cif,./U3Si5/3/xtal_28.cif,-7.3558073,-55.526672
xtal_29.cif,./U3Si5/__initial__/3/xtal_29.cif,13.233377,-0.00400195
xtal_3.cif,./U3Si5/__initial__/3/xtal_3.cif,-1.3784624,26.798685
xtal_30.cif,./U3Si5/3/xtal_30.cif,-12.574109,7.151226
xtal_31.cif,./U3Si5/3/xtal_31.cif,-97.89743,18.652468
xtal_32.cif,./U3Si5/3/xtal_32.cif,-16.535156,-89.52593
xtal_33.cif,./U3Si5/__initial__/3/xtal_33.cif,-25.143625,4.238112
xtal_34.cif,./U3Si5/__initial__/3/xtal_34.cif,-8.639292,92.80298
xtal_35.cif,./U3Si5/__initial__/3/xtal_35.cif,-25.661985,42.757717
xtal_36.cif,./U3Si5/__initial__/3/xtal_36.cif,-42.672115,-14.875106
xtal_37.cif,./U3Si5/3/xtal_37.cif,-27.344675,-91.26284
xtal_38.cif,./U3Si5/3/xtal_38.cif,-75.010475,-15.356198
xtal_39.cif,./U3Si5/__initial__/3/xtal_39.cif,-36.629723,-52.154774
xtal_4.cif,./U3Si5/3/xtal_4.cif,-19.503553,-19.317148
xtal_40.cif,./U3Si5/__initial__/3/xtal_40.cif,-9.698196,8.026701
xtal_41.cif,./U3Si5/3/xtal_41.cif,-12.341585,-71.699905
xtal_42.cif,./U3Si5/__initial__/3/xtal_42.cif,-18.528193,50.220947
xtal_43.cif,./U3Si5/3/xtal_43.cif,-51.600964,-3.6636877
xtal_44.cif,./U3Si5/3/xtal_44.cif,-11.466542,-50.01122
xtal_45.cif,./U3Si5/3/xtal_45.cif,-41.63986,61.09217
xtal_46.cif,./U3Si5/__initial__/3/xtal_46.cif,7.9075236,86.16213
xtal_47.cif,./U3Si5/__initial__/3/xtal_47.cif,4.864115,-8.066933
