Chemical_Formula,CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Relaxed_CIF_Path,SG_ori
Sc6Al26N32,xtal_15,-415.58233642578125,-6.493474006652832,db://6/xtal_15.cif,6
Sc3Al13N16,xtal_18,-204.3759002685547,-6.386746883392334,db://6/xtal_18.cif,6
Sc3Al13N16,xtal_19,-207.95657348632812,-6.498642921447754,db://6/xtal_19.cif,6
Sc3Al13N16,xtal_2,-214.50601196289062,-6.703312873840332,db://6/xtal_2.cif,6
Sc3Al13N16,xtal_20,-213.6173553466797,-6.67554235458374,db://6/xtal_20.cif,6
Sc6Al26N32,xtal_21,-446.8544616699219,-6.982100963592529,db://6/xtal_21.cif,6
Sc3Al13N16,xtal_24,-192.38442993164062,-6.0120134353637695,db://6/xtal_24.cif,6
Sc3Al13N16,xtal_29,-215.51583862304688,-6.734869956970215,db://6/xtal_29.cif,6
Sc3Al13N16,xtal_30,-204.4597930908203,-6.389368534088135,db://6/xtal_30.cif,6
Sc6Al26N32,xtal_31,-417.7208557128906,-6.526888370513916,db://6/xtal_31.cif,6
Sc6Al26N32,xtal_35,-431.8418273925781,-6.747528553009033,db://6/xtal_35.cif,6
Sc6Al26N32,xtal_36,-407.69677734375,-6.370262145996094,db://6/xtal_36.cif,6
Sc3Al13N16,xtal_37,-208.59170532226562,-6.518490791320801,db://6/xtal_37.cif,6
Sc3Al13N16,xtal_38,-193.19522094726562,-6.037350654602051,db://6/xtal_38.cif,6
Sc3Al13N16,xtal_39,-198.44309997558594,-6.2013468742370605,db://6/xtal_39.cif,6
Sc6Al26N32,xtal_4,-414.89959716796875,-6.482806205749512,db://6/xtal_4.cif,6
Sc3Al13N16,xtal_45,-209.61752319335938,-6.5505475997924805,db://6/xtal_45.cif,6
Sc6Al26N32,xtal_48,-410.07769775390625,-6.407464027404785,db://6/xtal_48.cif,6
Sc6Al26N32,xtal_49,-425.38409423828125,-6.6466264724731445,db://6/xtal_49.cif,6
Sc6Al26N32,xtal_51,-421.77044677734375,-6.590163230895996,db://6/xtal_51.cif,6
Sc6Al26N32,xtal_52,-416.3893737792969,-6.506083965301514,db://6/xtal_52.cif,6
