Chemical_Formula,CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Final_Pressure_GPa,Enthalpy_per_Atom_eV,Corrected_Enthalpy_per_Atom_eV,Relaxed_CIF_Path,SG_ori
Th2H20,xtal_130,-61.51251983642578,-2.796023628928445,150.20238749186197,0.1708361653226146,0.16683852372389418,db://11/xtal_130.cif,11
Th2H20,xtal_143,-59.27227783203125,-2.6941944469105112,150.09068298339844,0.2583471781976592,0.25656328809968093,db://11/xtal_143.cif,11
Th2H20,xtal_17,-59.141258239746094,-2.68823901089755,150.13882954915366,0.3751947857352094,0.37236210658001884,db://11/xtal_17.cif,11
Th2H20,xtal_188,-57.497188568115234,-2.6135085712779653,147.08219401041666,0.40113824041540624,0.4609425871129697,db://11/xtal_188.cif,11
Th2H20,xtal_19,-60.29688262939453,-2.740767392245206,149.57837931315103,0.25444503759819914,0.2628877251559063,db://11/xtal_19.cif,11
Th2H20,xtal_192,-60.6550178527832,-2.7570462660356,149.6798095703125,0.19782296454015835,0.20414392961436886,db://11/xtal_192.cif,11
Th2H20,xtal_21,-61.53584671020508,-2.797083941372958,149.96471150716147,0.16612216303973845,0.16681944092827472,db://11/xtal_21.cif,11
Th2H20,xtal_40,-59.20047378540039,-2.690930626609109,149.62518819173178,0.24623581204121853,0.25359342794372663,db://11/xtal_40.cif,11
Th2H20,xtal_46,-61.31096649169922,-2.786862113259055,149.97235107421875,0.16429329070349363,0.16483736616906206,db://11/xtal_46.cif,11
Th2H20,xtal_58,-61.301422119140625,-2.786428278142756,150.30142720540366,0.26079660532261006,0.25468544258824566,db://11/xtal_58.cif,11
Th2H20,xtal_6,-61.56783676147461,-2.7985380346124824,149.5933583577474,0.15881448470017678,0.16685349591280838,db://11/xtal_6.cif,11
Th2H20,xtal_63,-60.31689453125,-2.741677024147727,150.08609008789062,0.21006301743842345,0.20836988545356316,db://11/xtal_63.cif,11
Th2H20,xtal_69,-61.497894287109375,-2.795358831232244,150.26150512695312,0.17206804204981552,0.1669037297359856,db://11/xtal_69.cif,11
Th2H20,xtal_75,-59.23823165893555,-2.6926468935879795,149.77133178710938,0.2488789749100678,0.25337004443248545,db://11/xtal_75.cif,11
Th2H20,xtal_77,-61.36371612548828,-2.789259823885831,149.67696634928384,0.1583239114743917,0.16468540287850666,db://11/xtal_77.cif,11
Th2H20,xtal_81,-61.53370666503906,-2.7969866665926846,149.9214833577474,0.1654059130739088,0.16695737263247248,db://11/xtal_81.cif,11
Th2H20,xtal_119,-61.31101989746094,-2.786864540793679,150.1666056315104,0.16788568672514712,0.164607474332045,db://12/xtal_119.cif,12
Th2H20,xtal_131,-58.61217498779297,-2.6641897721724077,150.07471211751303,0.35050459843126186,0.34900378462389603,db://12/xtal_131.cif,12
Th2H20,xtal_14,-61.32573318481445,-2.787533326582475,150.12463887532553,0.1669954109553819,0.16454245492016706,db://12/xtal_14.cif,12
Th2H20,xtal_152,-58.39092254638672,-2.654132843017578,149.36906941731772,0.39639880887537904,0.40928416539616097,db://12/xtal_152.cif,12
Th2H20,xtal_154,-61.52484130859375,-2.7965836958451704,150.0836944580078,0.16844485020320832,0.16679139638841936,db://12/xtal_154.cif,12
Th2H20,xtal_16,-60.09541320800781,-2.7316096912730825,149.47168986002603,0.2624941965349482,0.2730769058462952,db://12/xtal_16.cif,12
Th2H20,xtal_165,-57.6937141418457,-2.6224415519020776,149.1386515299479,0.3821688407175763,0.3995219315376704,db://12/xtal_165.cif,12
Th2H20,xtal_183,-60.11599349975586,-2.732545159079812,149.7325439453125,0.21097655242098315,0.21623434530355473,db://12/xtal_183.cif,12
Th2H20,xtal_185,-59.76762390136719,-2.716710177334872,149.22855631510416,0.258520946060084,0.27390153619594326,db://12/xtal_185.cif,12
