CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Final_Pressure_GPa,Enthalpy_per_Atom_eV,Corrected_Enthalpy_per_Atom_eV,Relaxed_CIF_Path
xtal_23,-58.75334930419922,-2.67060678655451,150.15545145670572,0.31905009187703437,0.31595498935299143,db://101/xtal_23.cif
xtal_29,-59.76165008544922,-2.716438640247692,150.23189290364584,0.2649425974965005,0.2603406375615408,db://101/xtal_29.cif
xtal_30,-55.5132942199707,-2.523331555453214,149.91048685709634,0.610744411019462,0.6126158010451992,db://101/xtal_30.cif
xtal_39,-57.298336029052734,-2.604469819502397,150.13807678222656,0.45363322645504406,0.4508207951427959,db://101/xtal_39.cif
xtal_40,-56.674346923828125,-2.5761066783558237,150.3424835205078,0.4122994554084953,0.4054917997849327,db://101/xtal_40.cif
xtal_43,-57.05915451049805,-2.5935979322953657,150.19437154134116,0.43152549169446724,0.42761057866121627,db://101/xtal_43.cif
xtal_51,-59.52440643310547,-2.70565483786843,149.5902557373047,0.3138002615847384,0.3220708832062409,db://101/xtal_51.cif
xtal_54,-59.75630569458008,-2.7161957133900034,150.14833068847656,0.26254562871391457,0.25960294695353864,db://101/xtal_54.cif
xtal_55,-59.73033905029297,-2.715015411376953,150.09971618652344,0.26148371990623914,0.2595063334720566,db://101/xtal_55.cif
xtal_65,-53.80921936035156,-2.4458736072887075,150.40861002604166,0.7236187639501792,0.7150083103323542,db://101/xtal_65.cif
xtal_72,-57.100162506103516,-2.5954619320956143,149.8137664794922,0.5477853417732935,0.5516927130342605,db://101/xtal_72.cif
xtal_79,-58.61473083496094,-2.664305947043679,149.87651570638022,0.5011699495368014,0.5037780069313665,db://101/xtal_79.cif
xtal_87,-57.178558349609375,-2.5990253795276987,149.52599589029947,0.44510859969629607,0.4547586408683329,db://101/xtal_87.cif
xtal_9,-59.05123519897461,-2.6841470544988457,150.51560974121094,0.28756426464029067,0.27738430186533725,db://101/xtal_9.cif
xtal_97,-59.426414489746094,-2.7012006586248223,150.29617309570312,0.265455394079905,0.2596093123805627,db://101/xtal_97.cif
xtal_98,-61.33671188354492,-2.788032358342951,149.93195597330728,0.16321194662703029,0.16455131784352972,db://101/xtal_98.cif
xtal_104,-59.55707931518555,-2.7071399688720703,150.0255584716797,0.4001565777663471,0.3996272162922311,db://102/xtal_104.cif
xtal_11,-57.353397369384766,-2.6069726076993076,149.65347798665366,0.29307282035611365,0.2997878636283806,db://102/xtal_11.cif
xtal_111,-61.52510452270508,-2.796595660122958,149.93344116210938,0.16561434714666878,0.16692933901335097,db://102/xtal_111.cif
xtal_112,-60.21015930175781,-2.7368254228071733,150.115234375,0.21755777172201168,0.215289870650215,db://102/xtal_112.cif
xtal_116,-60.566246032714844,-2.75301118330522,149.8541717529297,0.2748558889586173,0.27780241051584265,db://102/xtal_116.cif
xtal_119,-57.36728286743164,-2.607603766701438,150.686279296875,0.3573332819525529,0.3438298964915576,db://102/xtal_119.cif
xtal_136,-61.61851501464844,-2.800841591574929,149.07713826497397,0.14859990377014107,0.1668584156213271,db://102/xtal_136.cif
xtal_139,-58.00934600830078,-2.6367884549227627,149.87490844726562,0.3274238683801759,0.3298979177457293,db://102/xtal_139.cif
xtal_140,-59.82015609741211,-2.7190980044278232,149.94710795084634,0.27590566394063515,0.2769621156682313,db://102/xtal_140.cif
xtal_141,-59.885555267333984,-2.7220706939697266,149.3992716471354,0.26518145195516946,0.2771930704953934,db://102/xtal_141.cif
xtal_142,-59.00800323486328,-2.682181965221058,150.5045928955078,0.2865766597346099,0.27662337869640125,db://102/xtal_142.cif
xtal_144,-61.542911529541016,-2.797405069524592,149.94638061523438,0.16566777802209937,0.16672734439808856,db://102/xtal_144.cif
xtal_148,-56.76982116699219,-2.580446416681463,149.91280619303384,0.4699511891099355,0.47172539230687194,db://102/xtal_148.cif
xtal_150,-59.114349365234375,-2.6870158802379263,149.7182159423828,0.27122318258620354,0.27679087253813994,db://102/xtal_150.cif
xtal_165,-61.5484504699707,-2.797656839544123,149.85185750325522,0.16382467444477813,0.1667523743268854,db://102/xtal_165.cif
xtal_169,-57.4122314453125,-2.609646883877841,149.69515482584634,0.3375283368882536,0.34353008186444206,db://102/xtal_169.cif
xtal_170,-55.769126892089844,-2.534960313276811,150.31066385904947,0.4560170749520541,0.4498352874866737,db://102/xtal_170.cif
xtal_172,-57.54730224609375,-2.615786465731534,149.0132039388021,0.32439923342012766,0.34386974737743325,db://102/xtal_172.cif
xtal_180,-60.122257232666016,-2.732829874212092,150.26996866861978,0.27055689344064277,0.26516113583054085,db://102/xtal_180.cif
xtal_188,-55.436683654785156,-2.519849257035689,149.56451416015625,0.5256234238719434,0.5344909031374199,db://102/xtal_188.cif
xtal_189,-61.529212951660156,-2.7967824068936435,149.90433247884116,0.16505051403227614,0.1669407276701751,db://102/xtal_189.cif
xtal_190,-57.426029205322266,-2.6102740547873755,149.6917521158854,0.33744181781645016,0.3435118060947469,db://102/xtal_190.cif
xtal_197,-59.7317008972168,-2.7150773135098545,151.23835245768228,0.30183785866746793,0.2771351013484862,db://102/xtal_197.cif
xtal_20,-57.263675689697266,-2.602894349531694,149.83710225423178,0.29027151790668204,0.293416868362937,db://102/xtal_20.cif
xtal_23,-57.299842834472656,-2.604538310657848,150.05520629882812,0.42664633094890225,0.4255311381524956,db://102/xtal_23.cif
xtal_25,-61.52171325683594,-2.796441511674361,150.12205505371094,0.16918637914673695,0.1667752086403692,db://102/xtal_25.cif
xtal_28,-61.53028869628906,-2.7968313043767754,150.10071818033853,0.1687544427889152,0.16676452292901447,db://102/xtal_28.cif
xtal_32,-61.47939682006836,-2.7945180372758345,150.13049825032553,0.16992191316650526,0.16734512676243438,db://102/xtal_32.cif
xtal_34,-61.52085876464844,-2.7964026711203833,149.97655741373697,0.16649030897341144,0.1669534338475367,db://102/xtal_34.cif
xtal_44,-55.84437942504883,-2.538380882956765,150.30745951334634,0.5269729604162094,0.5207026648236336,db://102/xtal_44.cif
xtal_46,-58.99474334716797,-2.6815792430530894,150.25286356608072,0.281540371584007,0.276553677988305,db://102/xtal_46.cif
xtal_51,-59.97216033935547,-2.7260072881525215,150.10102335611978,0.280975666363134,0.27895185930927113,db://102/xtal_51.cif
xtal_55,-54.446598052978516,-2.474845366044478,150.16168721516928,0.696238096322574,0.6928236191439526,db://102/xtal_55.cif
xtal_66,-59.14482879638672,-2.688401308926669,149.3780059814453,0.26432444004587746,0.2766192738283117,db://102/xtal_66.cif
xtal_71,-59.124000549316406,-2.687454570423473,140.2283477783203,0.1684621883165259,0.3674734851235789,db://102/xtal_71.cif
xtal_72,-60.8112678527832,-2.764148538762873,150.19032287597656,0.27694705938616954,0.2730933486458488,db://102/xtal_72.cif
xtal_77,-56.81974792480469,-2.5827158147638496,149.73513793945312,0.4025032923234061,0.40778375818310797,db://102/xtal_77.cif
xtal_79,-56.247344970703125,-2.5566974986683237,150.13932291666666,0.4778429290222196,0.47502700435361433,db://102/xtal_79.cif
xtal_93,-61.536346435546875,-2.7971066561612217,149.49096171061197,0.1574777953870252,0.16753858165703436,db://102/xtal_93.cif
xtal_94,-57.2852668762207,-2.603875767100941,150.6042734781901,0.3113609420386616,0.2996640612975295,db://102/xtal_94.cif
