filename,filepath,tsne_dim1,tsne_dim2
xtal_99.cif,./Al13Sc3N16/__initial__/3/xtal_99.cif,64.74029,9.373895
xtal_1.cif,./Al13Sc3N16/__initial__/4/xtal_1.cif,84.31476,-0.6891556
xtal_100.cif,./Al13Sc3N16/__initial__/4/xtal_100.cif,56.703987,-16.337812
xtal_11.cif,./Al13Sc3N16/__initial__/4/xtal_11.cif,57.77504,-70.72835
xtal_14.cif,./Al13Sc3N16/__initial__/4/xtal_14.cif,-64.756905,-57.837925
xtal_15.cif,./Al13Sc3N16/__initial__/4/xtal_15.cif,14.523489,-21.852324
xtal_16.cif,./Al13Sc3N16/__initial__/4/xtal_16.cif,0.9251721,-17.353083
xtal_17.cif,./Al13Sc3N16/__initial__/4/xtal_17.cif,68.45278,51.781803
xtal_20.cif,./Al13Sc3N16/__initial__/4/xtal_20.cif,-37.044533,-54.145466
xtal_21.cif,./Al13Sc3N16/__initial__/4/xtal_21.cif,30.610434,-43.529522
xtal_22.cif,./Al13Sc3N16/__initial__/4/xtal_22.cif,64.50511,-36.93579
xtal_24.cif,./Al13Sc3N16/__initial__/4/xtal_24.cif,-90.71139,-22.843842
xtal_26.cif,./Al13Sc3N16/__initial__/4/xtal_26.cif,91.66043,6.715913
xtal_27.cif,./Al13Sc3N16/__initial__/4/xtal_27.cif,50.62493,-14.358855
xtal_29.cif,./Al13Sc3N16/__initial__/4/xtal_29.cif,-105.79724,4.1869464
xtal_32.cif,./Al13Sc3N16/__initial__/4/xtal_32.cif,51.582657,12.565201
xtal_33.cif,./Al13Sc3N16/__initial__/4/xtal_33.cif,-26.002481,-55.100037
xtal_34.cif,./Al13Sc3N16/__initial__/4/xtal_34.cif,14.587997,-65.42496
xtal_35.cif,./Al13Sc3N16/__initial__/4/xtal_35.cif,36.80322,-8.378584
xtal_37.cif,./Al13Sc3N16/__initial__/4/xtal_37.cif,-35.14122,-56.52624
xtal_38.cif,./Al13Sc3N16/__initial__/4/xtal_38.cif,46.24027,-14.259532
xtal_39.cif,./Al13Sc3N16/__initial__/4/xtal_39.cif,64.092995,27.331375
xtal_40.cif,./Al13Sc3N16/__initial__/4/xtal_40.cif,-45.83361,-58.2012
xtal_44.cif,./Al13Sc3N16/__initial__/4/xtal_44.cif,26.759653,-62.454723
xtal_47.cif,./Al13Sc3N16/__initial__/4/xtal_47.cif,31.710081,-45.85362
xtal_49.cif,./Al13Sc3N16/__initial__/4/xtal_49.cif,67.10513,42.962875
xtal_51.cif,./Al13Sc3N16/__initial__/4/xtal_51.cif,16.173584,-41.25255
xtal_53.cif,./Al13Sc3N16/__initial__/4/xtal_53.cif,46.52282,7.1873507
xtal_56.cif,./Al13Sc3N16/__initial__/4/xtal_56.cif,16.245354,57.55515
xtal_6.cif,./Al13Sc3N16/__initial__/4/xtal_6.cif,52.507584,8.974048
xtal_60.cif,./Al13Sc3N16/__initial__/4/xtal_60.cif,61.36053,29.968344
xtal_62.cif,./Al13Sc3N16/__initial__/4/xtal_62.cif,-59.839626,-47.21389
xtal_63.cif,./Al13Sc3N16/__initial__/4/xtal_63.cif,92.85687,19.216675
xtal_64.cif,./Al13Sc3N16/__initial__/4/xtal_64.cif,27.081814,-61.93652
xtal_65.cif,./Al13Sc3N16/__initial__/4/xtal_65.cif,62.50323,-12.311186
xtal_67.cif,./Al13Sc3N16/__initial__/4/xtal_67.cif,8.683447,-56.028004
xtal_74.cif,./Al13Sc3N16/__initial__/4/xtal_74.cif,26.31464,-63.664455
xtal_75.cif,./Al13Sc3N16/__initial__/4/xtal_75.cif,14.284579,52.595406
xtal_76.cif,./Al13Sc3N16/__initial__/4/xtal_76.cif,30.977282,14.669947
xtal_77.cif,./Al13Sc3N16/__initial__/4/xtal_77.cif,66.48606,25.358715
xtal_81.cif,./Al13Sc3N16/__initial__/4/xtal_81.cif,60.055386,11.354506
xtal_82.cif,./Al13Sc3N16/__initial__/4/xtal_82.cif,48.85543,-52.49601
xtal_88.cif,./Al13Sc3N16/__initial__/4/xtal_88.cif,77.03396,5.465731
xtal_89.cif,./Al13Sc3N16/__initial__/4/xtal_89.cif,23.441015,52.593838
