filename,filepath,tsne_dim1,tsne_dim2
xtal_9.cif,./Al13Sc3N16/__initial__/3/xtal_9.cif,81.13078,13.891526
xtal_90.cif,./Al13Sc3N16/3/xtal_90.cif,1.5275526,-75.1465
xtal_91.cif,./Al13Sc3N16/3/xtal_91.cif,76.345604,22.462563
xtal_92.cif,./Al13Sc3N16/__initial__/3/xtal_92.cif,100.57865,0.99205136
xtal_93.cif,./Al13Sc3N16/__initial__/3/xtal_93.cif,80.33903,-6.826404
xtal_94.cif,./Al13Sc3N16/__initial__/3/xtal_94.cif,9.438725,-64.14862
xtal_95.cif,./Al13Sc3N16/3/xtal_95.cif,27.180529,34.30561
xtal_96.cif,./Al13Sc3N16/__initial__/3/xtal_96.cif,-43.151676,-0.64227724
xtal_97.cif,./Al13Sc3N16/3/xtal_97.cif,-50.912975,-58.328552
xtal_98.cif,./Al13Sc3N16/3/xtal_98.cif,63.275562,4.632396
xtal_99.cif,./Al13Sc3N16/__initial__/3/xtal_99.cif,64.74029,9.373895
xtal_1.cif,./Al13Sc3N16/__initial__/4/xtal_1.cif,84.31476,-0.6891556
xtal_10.cif,./Al13Sc3N16/4/xtal_10.cif,16.547873,-39.605988
xtal_100.cif,./Al13Sc3N16/__initial__/4/xtal_100.cif,56.703987,-16.337812
xtal_11.cif,./Al13Sc3N16/__initial__/4/xtal_11.cif,57.77904,-70.72758
xtal_12.cif,./Al13Sc3N16/4/xtal_12.cif,69.5474,11.42244
xtal_13.cif,./Al13Sc3N16/4/xtal_13.cif,45.434956,-31.10685
xtal_14.cif,./Al13Sc3N16/__initial__/4/xtal_14.cif,-64.75695,-57.837578
xtal_15.cif,./Al13Sc3N16/__initial__/4/xtal_15.cif,14.523723,-21.852333
xtal_16.cif,./Al13Sc3N16/__initial__/4/xtal_16.cif,0.9249976,-17.35285
xtal_17.cif,./Al13Sc3N16/__initial__/4/xtal_17.cif,68.453606,51.783325
xtal_18.cif,./Al13Sc3N16/4/xtal_18.cif,41.655056,-43.04317
xtal_19.cif,./Al13Sc3N16/4/xtal_19.cif,76.60989,31.709558
xtal_2.cif,./Al13Sc3N16/4/xtal_2.cif,-0.6209597,-63.44145
xtal_20.cif,./Al13Sc3N16/__initial__/4/xtal_20.cif,-37.044533,-54.145466
xtal_21.cif,./Al13Sc3N16/__initial__/4/xtal_21.cif,30.610434,-43.529522
xtal_22.cif,./Al13Sc3N16/__initial__/4/xtal_22.cif,64.505615,-36.935863
xtal_23.cif,./Al13Sc3N16/4/xtal_23.cif,11.132367,-38.20289
xtal_24.cif,./Al13Sc3N16/__initial__/4/xtal_24.cif,-90.710884,-22.843458
xtal_25.cif,./Al13Sc3N16/4/xtal_25.cif,51.25086,-48.60304
xtal_26.cif,./Al13Sc3N16/__initial__/4/xtal_26.cif,91.65998,6.7159996
xtal_27.cif,./Al13Sc3N16/__initial__/4/xtal_27.cif,50.624268,-14.359184
xtal_28.cif,./Al13Sc3N16/4/xtal_28.cif,87.13165,-6.561643
xtal_29.cif,./Al13Sc3N16/__initial__/4/xtal_29.cif,-105.79724,4.1869464
xtal_3.cif,./Al13Sc3N16/4/xtal_3.cif,69.03963,12.580571
xtal_30.cif,./Al13Sc3N16/4/xtal_30.cif,5.626884,-56.91781
xtal_31.cif,./Al13Sc3N16/4/xtal_31.cif,10.281891,33.909744
xtal_32.cif,./Al13Sc3N16/__initial__/4/xtal_32.cif,51.582577,12.5651455
xtal_33.cif,./Al13Sc3N16/__initial__/4/xtal_33.cif,-26.004313,-55.101562
xtal_34.cif,./Al13Sc3N16/__initial__/4/xtal_34.cif,14.588211,-65.42467
xtal_35.cif,./Al13Sc3N16/__initial__/4/xtal_35.cif,36.804043,-8.378852
xtal_36.cif,./Al13Sc3N16/4/xtal_36.cif,43.90957,-32.585396
xtal_37.cif,./Al13Sc3N16/__initial__/4/xtal_37.cif,-35.14122,-56.52624
xtal_38.cif,./Al13Sc3N16/__initial__/4/xtal_38.cif,46.24027,-14.259532
xtal_39.cif,./Al13Sc3N16/__initial__/4/xtal_39.cif,64.09262,27.330969
xtal_4.cif,./Al13Sc3N16/4/xtal_4.cif,48.075333,-56.282825
xtal_40.cif,./Al13Sc3N16/__initial__/4/xtal_40.cif,-45.83361,-58.2012
xtal_41.cif,./Al13Sc3N16/4/xtal_41.cif,-21.183271,-52.023655
xtal_42.cif,./Al13Sc3N16/4/xtal_42.cif,10.956081,-38.245934
xtal_43.cif,./Al13Sc3N16/4/xtal_43.cif,23.050928,-64.028755
xtal_44.cif,./Al13Sc3N16/__initial__/4/xtal_44.cif,26.759735,-62.455353
xtal_45.cif,./Al13Sc3N16/4/xtal_45.cif,11.282704,-24.44225
xtal_46.cif,./Al13Sc3N16/4/xtal_46.cif,82.68987,-6.180925
xtal_47.cif,./Al13Sc3N16/__initial__/4/xtal_47.cif,31.710081,-45.85362
xtal_48.cif,./Al13Sc3N16/4/xtal_48.cif,65.60074,36.84483
xtal_49.cif,./Al13Sc3N16/__initial__/4/xtal_49.cif,67.10823,42.962444
xtal_5.cif,./Al13Sc3N16/4/xtal_5.cif,76.635544,24.508314
xtal_50.cif,./Al13Sc3N16/4/xtal_50.cif,44.142242,-17.765078
xtal_51.cif,./Al13Sc3N16/__initial__/4/xtal_51.cif,16.173462,-41.25253
xtal_52.cif,./Al13Sc3N16/4/xtal_52.cif,-5.089153,25.885683
xtal_53.cif,./Al13Sc3N16/__initial__/4/xtal_53.cif,46.522194,7.187465
xtal_54.cif,./Al13Sc3N16/4/xtal_54.cif,6.6789117,-56.615673
xtal_55.cif,./Al13Sc3N16/4/xtal_55.cif,49.846886,1.2203281
xtal_56.cif,./Al13Sc3N16/__initial__/4/xtal_56.cif,16.245321,57.555923
xtal_57.cif,./Al13Sc3N16/4/xtal_57.cif,49.978176,-38.434116
xtal_58.cif,./Al13Sc3N16/4/xtal_58.cif,-25.658857,-53.947353
xtal_59.cif,./Al13Sc3N16/4/xtal_59.cif,-10.837452,50.8511
xtal_6.cif,./Al13Sc3N16/__initial__/4/xtal_6.cif,52.50751,8.97405
xtal_60.cif,./Al13Sc3N16/__initial__/4/xtal_60.cif,61.36053,29.968344
xtal_61.cif,./Al13Sc3N16/4/xtal_61.cif,-18.427832,-45.15549
xtal_62.cif,./Al13Sc3N16/__initial__/4/xtal_62.cif,-59.839626,-47.21389
xtal_63.cif,./Al13Sc3N16/__initial__/4/xtal_63.cif,92.85687,19.216675
